system:index,Image+_Date,2BDA,3BDA,AreaSqKm,CI,Date,FLHV,Lake,Lake No,Longitude,NDCI,OC2,OC3,.geo
LC08_069013_20160610_10,6/10/16,0.522058824,-0.124137931,0.68,-0.0113607,40707,0.0047,YF03,9,-145.691556,-0.314009662,0.675862069,0.813793103,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.691556,66.65232]}"
LC08_069013_20160610_13,6/10/16,0.731707317,0.166666667,0.79,-0.0085715,41165.45139,9.00E-04,YF09,12,-145.7015556,-0.154929577,0.911764706,0.970588235,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.7015556,66.707]}"
LC08_069013_20160610_22,6/10/16,0.794871795,0.185185185,3.413,-0.0083164,40710,0.0016,Twelvemile Lake,21,-145.54564,-0.114285714,0.851851852,0.907407407,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.54564,66.44966]}"
LC08_069013_20160610_21,6/10/16,0.930555556,0.20754717,1.17,-0.00822192,41167.39583,1.00E-03,Buddy Lake,20,-145.44285,-0.035971223,0.905660377,0.886792453,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.44285,66.43065]}"
LC08_069013_20160610_25,6/10/16,0.567307692,0.097222222,1.164,-0.00976056,40711,0.0047,YF02,24,-145.866087,-0.27607362,0.673611111,0.819444444,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.866087,66.538895]}"
LC08_069013_20160610_8,6/10/16,0.868421053,0.149425287,0.268,-0.012065,40707,0.0038,YF04,7,-146.186808,-0.070422535,0.781609195,0.804597701,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.186808,66.501153]}"
LC08_069013_20160610_7,6/10/16,0.616071429,0.106666667,2.832,-0.0114945,40710,0.0025,Canvasback Lake,6,-146.358557,-0.237569061,0.833333333,0.853333333,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.358557,66.384025]}"
LC08_069013_20160610_12,6/10/16,0.43627451,-0.203065134,1.746,-0.01620738,40711,0.0123,YF17,11,-146.267024,-0.392491468,0.528735632,0.578544061,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.267024,66.320636]}"
LC08_069013_20160610_9,6/10/16,0.855263158,0.245762712,4.555,-0.00947108,40710,-1.73E-18,Scoter Lake,8,-146.411736,-0.078014184,1,0.889830508,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.411736,66.235088]}"
LC08_069013_20160610_20,6/10/16,0.85,0.030612245,0.988,-0.00696084,41167.44097,0.0036,Thumb Lake,19,-146.144,-0.081081081,0.632653061,0.846938776,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.144,66.17525]}"
LC08_069013_20160610_18,6/10/16,0.842857143,0.217391304,1.627,-0.00731292,40711,0.0013,YF08,17,-145.558603,-0.085271318,0.858695652,0.97826087,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.558603,66.703426]}"
LC08_069013_20160610_11,6/10/16,0.614583333,0.092436975,1.625,-0.00985962,41165.40625,0.0013,YF18,10,-145.7885278,-0.238709677,0.890756303,0.899159664,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.7885278,66.7845]}"
LC08_069013_20160626_17,6/26/16,0.4,-0.165625,0.593,-0.0183456,40710,0.0168,YF20,16,-145.774929,-0.428571429,0.475,0.584375,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.774929,66.637751]}"
